,Phi[deg],Theta[deg],v,x,y,m,x1,y1
282,101,-89,-24.8386,-0.767186098,-0.38877355,-0.999847695,-0.981477677,0.190779934
283,102,-89,-23.4612,-0.087370756,-0.855620087,-0.999847695,-0.977998624,0.207880025
284,103,-89,-23.3378,0.672772857,-0.535813462,-0.999847695,-0.974221664,0.224916793
285,104,-89,-24.4392,0.814372207,0.276617589,-0.999847695,-0.970147946,0.24188505
286,105,-89,-27.1615,0.207241506,0.834727705,-0.999847695,-0.965778711,0.258779626
287,106,-89,-33.1917,-0.59042608,0.625393018,-0.999847695,-0.961115291,0.275595375
288,107,-89,-51.3053,-0.845258651,-0.158925125,-0.999847695,-0.956159106,0.292327175
289,108,-89,-31.5601,-0.322964317,-0.797128241,-0.999847695,-0.950911666,0.30896993
290,109,-89,-26.7923,0.496261921,-0.702455328,-0.999847695,-0.945374569,0.325518569
291,110,-89,-24.7361,0.859227237,0.038051774,-0.999847695,-0.939549501,0.341968052
292,111,-89,-24.2096,0.432222994,0.743574251,-0.999847695,-0.933438238,0.358313368
293,112,-89,-24.9354,-0.392165077,0.765457991,-0.999847695,-0.92704264,0.374549539
294,113,-89,-26.9875,-0.855998384,0.083583184,-0.999847695,-0.920364656,0.390671618
295,114,-89,-30.8579,-0.532830725,-0.675137616,-0.999847695,-0.91340632,0.406674695
296,115,-89,-38.4749,0.280219046,-0.813140006,-0.999847695,-0.906169752,0.422553895
297,116,-89,-54.2852,0.835636718,-0.203545224,-0.999847695,-0.898657156,0.438304381
298,117,-89,-39.951,0.622773846,0.593188098,-0.999847695,-0.89087082,0.453921355
299,118,-89,-39.3188,-0.162664428,0.844547019,-0.999847695,-0.882813116,0.46940006
300,119,-89,-47.9287,-0.798549777,0.319433305,-0.999847695,-0.874486498,0.484735781
301,120,-89,-40.7409,-0.700252144,-0.499365916,-0.999847695,-0.865893504,0.499923848
302,121,-89,-31.4946,0.041854081,-0.859050417,-0.999847695,-0.85703675,0.514959632
303,122,-89,-26.7966,0.745479857,-0.428927926,-0.999847695,-0.847918934,0.529838555
304,123,-89,-23.8742,0.76371489,0.395548922,-0.999847695,-0.838542834,0.544556084
305,124,-89,-21.9938,0.079793975,0.856359915,-0.999847695,-0.828911306,0.559107736
306,125,-89,-20.8461,-0.677489152,0.529837552,-0.999847695,-0.819027283,0.573489078
307,126,-89,-20.2881,-0.811891878,-0.283815013,-0.999847695,-0.808893777,0.58769573
308,127,-89,-20.2734,-0.199844955,-0.836529364,-0.999847695,-0.798513874,0.601723364
309,128,-89,-20.8295,0.595938498,-0.620142475,-0.999847695,-0.787890736,0.615567707
310,129,-89,-22.0549,0.843818844,0.166400545,-0.999847695,-0.777027598,0.629224543
311,130,-89,-24.1428,0.315896036,0.799955672,-0.999847695,-0.765927771,0.64268971
312,131,-89,-27.4744,-0.50246013,0.698035243,-0.999847695,-0.754594634,0.655959108
313,132,-89,-32.993,-0.85885677,-0.045655569,-0.999847695,-0.743031641,0.669028695
314,133,-89,-45.1888,-0.425624457,-0.747370862,-0.999847695,-0.731242313,0.681894488
